TEXT,POSITIVE,NEGATIVE,NEUTRAL
sejumlah aturan untuk anda yang ingin menonton langsung piala dunia di qatar,0.0027243285439908504,0.0007994481711648405,0.9964762330055237
nonton dirumah aja,0.20328177511692047,0.7081693410873413,0.08854886889457703
stay halal,0.9958682060241699,0.0018025379395112395,0.0023292331025004387
gasss,0.8268551230430603,0.16968171298503876,0.0034632289316505194
stay halal bestie,0.9857638478279114,0.0019248051103204489,0.012311258353292942
stay halal,0.9958682060241699,0.0018025379395112395,0.0023292331025004387
alkohol di regulasi,0.0015210239216685295,0.003301086835563183,0.9951778650283813
mantep nonton di rumah,0.01365799643099308,0.007590996567159891,0.9787510633468628
piala dunia versi syariah,0.5939851403236389,0.0362505279481411,0.36976438760757446
ke qatar naik grabcar cakep,0.037251878529787064,0.0005268382956273854,0.9622213244438171
common w,0.025651682168245316,0.01962754689157009,0.9547208547592163
dimana bumi dipijak disitu adab dijunjung,0.2719437777996063,0.5875141620635986,0.14054203033447266
syariah world cup is real,0.7554590702056885,0.005451828707009554,0.23908910155296326
no loud music and sounds klo gitu ga bakal ada lagu di stadion nya dong kaya pildun sblm nya bukan nya pildun ada official anthem nya ya,0.018709303811192513,0.9640979766845703,0.017192749306559563
best world cup already,0.990712583065033,0.001829290995374322,0.007458130829036236
keren punya pendirian,0.995754599571228,0.002028939314186573,0.0022164827678352594
harusnya jangan dikasih tahu takutnya malah orang ngeyel dari luar malah termotivasi melanggar kecuali dikasih tahu hukumannya berat,0.00028977871988900006,0.9994620680809021,0.00024814633070491254
mau nnton dirumah aja,0.012720949947834015,0.03004293330013752,0.9572361707687378
stay halal brother,0.9803856611251831,0.0028685922734439373,0.016745705157518387
apalagi gas air mata,0.001579654635861516,0.9973152279853821,0.0011051333276554942
manteppp stay halal braderrr,0.9975134134292603,0.0016269008629024029,0.0008597258129157126
pildun halal,0.5155978202819824,0.06808200478553772,0.41632017493247986
ya namanya bertamu ke negara orang ya harus ikuti aturan negara tsb lah,0.026473358273506165,0.9115676879882812,0.0619589127600193
stay halal brother,0.9803856611251831,0.0028685922734439373,0.016745705157518387
yang pengen nonton bola bisa dari murah dan gampang,0.9907359480857849,0.0024931859225034714,0.006770835258066654
stay halal braderr,0.9724545478820801,0.003133126301690936,0.02441229298710823
hombreng dilarang,0.0025550001300871372,0.9967605471611023,0.0006844469462521374
stay halal,0.9958682060241699,0.0018025379395112395,0.0023292331025004387
tapi banyak orang meninggal chuaaakss,0.014547664672136307,0.6969786286354065,0.2884736955165863
mau nonton dirumah aja sambil telanjang sama ayang,0.003478862578049302,0.002709368010982871,0.9938117265701294
tambahin slogan stay halal brother harusnya,0.31469300389289856,0.03137074410915375,0.6539362668991089
bawa jangwe,0.47368869185447693,0.39016613364219666,0.1361451894044876
worlc cup syariah anjerrr dating ini jelas banyak yg berpasangan ga mungkin ga ada wowkwkwk,0.21367737650871277,0.23630434274673462,0.5500182509422302
si paling pildun,0.005646349862217903,0.8099516034126282,0.18440204858779907
masya allah brother,0.9747956395149231,0.003147628391161561,0.022056657820940018
berlebihan,0.01758696511387825,0.9809432625770569,0.0014697661390528083
tp perbudakan diijinkan jiaaah,0.001000650110654533,0.9964738488197327,0.002525424351915717
berarti nutup pintu boleh ya,0.0010409746319055557,0.0008723545470274985,0.99808669090271
dimana bumi dipijak disitu langit dijunjung,0.08330322802066803,0.8297340869903564,0.0869627594947815
big w,0.033509060740470886,0.23964668810367584,0.7268441915512085
terakhir agak susah ya,0.0026755824219435453,0.9966368675231934,0.0006875350954942405
turis mau nonton jdi mikir,0.000782521441578865,0.9966887831687927,0.0025287168100476265
assalamualaikum akhi,0.05664844438433647,0.002087639644742012,0.9412639141082764
hm sepertinya aturan ini akan memicu keributan dari pihak yg tidak setuju,0.0005982659640721977,0.9950182437896729,0.004383446183055639
w,0.7101697325706482,0.05947699770331383,0.23035329580307007
hukum yang tegas dari pemerintah qatar,0.0005416396888904274,0.009794098325073719,0.9896642565727234
bawa gas air mata ga dilarang nih,0.21243414282798767,0.7635340690612793,0.02403183840215206
w,0.7101697325706482,0.05947699770331383,0.23035329580307007
cocok untuk fans italia mesir kolombia chile nigeria dan indonesia yang taatnya minta ampun,0.8134589195251465,0.1677561104297638,0.01878499984741211
islami bangt emang qatar tapi pembangunannya gk bngt,0.005634440574795008,0.9886639714241028,0.005701550282537937
masih masuk akal mengingat qatar negara muslim,0.004301353357732296,0.9774401187896729,0.018258536234498024
masa iye no loud music and sounds,0.004646484274417162,0.990928590297699,0.004424903076142073
based,0.985195517539978,0.013738181442022324,0.0010663311695680022
stay halal,0.9958682060241699,0.0018025379395112395,0.0023292331025004387
wahdo wahdo,0.10209649056196213,0.34316256642341614,0.5547409057617188
sama seperti saat kita mengunjungi negara barat kita harus rispek sama culture mereka juga simple,0.990496039390564,0.006546219810843468,0.0029576809611171484
sekali kali para atletis harus merasakan kultur shock di mayoritas muslim,0.09142664074897766,0.6263547539710999,0.2822185456752777
menuntut ilmu ke china menuntut adab ya ke arab,0.004665648099035025,0.6512372493743896,0.3440970778465271
lagi nunggu esjewe,0.05650577321648598,0.8928753733634949,0.05061884969472885
stay halal brother,0.9803856611251831,0.0028685922734439373,0.016745705157518387
mantaaap qatar,0.02165333926677704,0.0007841854239813983,0.977562427520752
pildun syariah,0.2966574728488922,0.05179312080144882,0.6515494585037231
supporter yg away ke qatar kan pada batu smua tuh apalagi supporter negara eropa,0.0013738790294155478,0.9957901835441589,0.002835918217897415
ada yang jual gorengan,0.001604045508429408,0.0012315232306718826,0.9971644282341003
gk bisa wleowleowleo,0.0205382052809,0.9700035452842712,0.009458287619054317
mantap qatar kalo mau ke negara orang harus ikuti aturan dong jangan seenaknya aja,0.6657454967498779,0.21637356281280518,0.11788094788789749
meanwhile in indonesia say alah anti modern pemikiran tertutup dll,0.0002375868643866852,0.9988762736320496,0.000886107562109828
gak bakal kesana karena apa karena tidak punya uang,0.0013704851735383272,0.9971139430999756,0.001515521784313023
lol besok besok di negara normal aja dah piala dunia btw urus dulu kasus perbudakan lu tar,0.0014508538879454136,0.8480591773986816,0.15049000084400177
bntar lgi pasti muncul sjw open minded tolol ni,0.0003799624682869762,0.9983187913894653,0.001301332376897335
dan lu ndak bisa ngapa in dg peraturan di atas itulah power negara disiplin sekaligus kaya raya,0.9813557267189026,0.015994133427739143,0.002650151727721095
penasaran dengan tanggapan supporter negara barat,0.0030359583906829357,0.012450139038264751,0.9845139384269714
openingnya gda konser kh,0.0031911104451864958,0.0009285788983106613,0.9958802461624146
nonton balan versi syariah and stay halal,0.2525596022605896,0.02544509619474411,0.7219952344894409
bola gaada kata kasarnya tereak tereakannya ga sopan gimana caranya coba,0.000415273301769048,0.9989911913871765,0.0005935623194091022
masyaallah habibi,0.14668680727481842,0.13583904504776,0.7174741625785828
stay halal bradss,0.9701343178749084,0.0066377269104123116,0.023227958008646965
piala dunia versi halal,0.25900349020957947,0.060359008610248566,0.6806374788284302
gas air mata boleh nih,0.10537993162870407,0.49037253856658936,0.40424755215644836
w,0.7101697325706482,0.05947699770331383,0.23035329580307007
ga boleh dating,0.016923440620303154,0.1355452686548233,0.8475313186645508
kaya peraturan pesantren,0.7228688597679138,0.13646775484085083,0.14066340029239655
piala dunia di qatar ini indonesia ikut kah,0.0069808196276426315,0.00914636068046093,0.9838728308677673
piala dunia ter halal,0.9885749220848083,0.006505994591861963,0.004919034894555807
mantap ini baru betul,0.9905936121940613,0.008206640370190144,0.0011997852707281709
kalian yg twitt menolak emang kalian kesana nonton,0.0009626198443584144,0.9976341724395752,0.0014031898463144898
football al islamiyyah,0.9740471243858337,0.006396912038326263,0.01955590955913067
based,0.985195517539978,0.013738181442022324,0.0010663311695680022
tembak gas air kencing boleh nih,0.020416192710399628,0.5039085745811462,0.4756752848625183
stay halal,0.9958682060241699,0.0018025379395112395,0.0023292331025004387
masyallah stay halal brother,0.9984593391418457,0.0005561776924878359,0.0009844364831224084
pulang dari qatar jago ngaji pasti,0.6968759298324585,0.22047218680381775,0.08265187591314316
tetap halal,0.9972146153450012,0.0011689818929880857,0.0016163521213456988
negara kaya mah bebas,0.06595959514379501,0.6149823069572449,0.3190580904483795
